Rok,Stan,Total_Precipitation,Atmospheric_Pressure_Station,Global_Radiation,Air_Temperature,Max_Air_Temperature,Min_Air_Temperature,Relative_Humidity,Max_Relative_Humidity,Min_Relative_Humidity,Hourly_Wind_Speed,Max_Wind_Gust
2018,PR,1427.5,913.06,680.23,18.22,22.0,7.0,17.68,24.0,0.0,5.09,8.0
2019,PR,1395.0,913.4,676.11,18.72,24.0,6.0,18.18,24.0,0.0,5.06,9.0
2020,PR,1203.0,913.08,163.0,18.19,22.0,7.0,17.6,23.0,0.0,5.2,9.0
2021,PR,1213.5,912.89,163.0,17.79,22.0,7.0,17.02,23.0,0.0,5.07,8.0
2022,PR,1732.5,912.62,163.0,17.59,22.0,7.0,17.06,23.0,0.0,4.91,8.0
2023,PR,1485.5,912.83,163.0,18.6,22.0,4.0,18.08,23.0,0.0,5.08,10.0
2003,SC,848.9,1016.77,549.47,20.83,23.2,5.6,20.4,24.0,0.0,6.05,9.4
2004,SC,1261.63,1021.02,606.35,19.72,24.4,5.5,19.39,24.4,0.0,4.67,9.9
2005,SC,1498.77,1021.98,736.49,21.03,22.6,6.9,20.48,22.7,0.3,6.05,13.4
2006,SC,1279.8,1015.32,766.24,21.26,24.2,6.1,20.84,24.8,0.0,5.39,8.8
2007,SC,1822.3,1015.09,644.55,21.34,24.9,4.8,20.85,25.0,0.2,5.44,11.2
2008,SC,2968.1,1015.62,665.87,20.6,24.2,4.6,20.15,24.5,0.2,5.4,9.4
2009,SC,1868.6,1014.83,665.55,21.09,25.6,6.6,20.65,26.3,0.9,5.5,11.0
2010,SC,2081.0,1015.58,635.74,20.9,26.9,6.7,20.46,27.5,1.4,5.55,8.3
2011,SC,2283.0,1015.54,647.79,20.52,25.5,5.3,20.08,25.5,0.0,5.38,8.5
2012,SC,1397.0,1015.76,693.13,21.41,25.0,7.3,20.95,25.4,0.3,5.28,8.2
2013,SC,1610.0,1015.91,675.39,20.7,25.2,4.4,20.25,25.9,0.1,4.11,7.8
2014,SC,1530.2,1016.14,690.25,21.75,26.3,7.1,21.31,26.5,0.0,4.26,8.3
2015,SC,2291.8,1015.64,600.7,21.64,25.6,7.4,21.22,26.7,0.8,4.37,7.9
2016,SC,1744.1,1016.16,662.08,20.76,25.0,3.8,20.31,25.4,0.0,5.29,7.6
2017,SC,1798.4,1016.3,679.04,21.73,24.8,5.7,21.29,25.3,0.7,5.45,8.9
2018,SC,1738.9,1015.96,665.01,21.29,24.1,7.6,20.85,25.2,0.3,5.17,9.0
2019,SC,1176.3,1016.17,656.52,21.81,26.2,5.3,21.36,26.3,0.1,5.52,10.0
2020,SC,1441.7,1016.06,1.0,21.21,24.7,6.8,20.74,25.2,0.8,5.38,8.6
2021,SC,2219.1,1016.16,1.0,20.79,25.2,4.6,20.35,25.6,0.0,4.7,8.8
2022,SC,1803.0,1015.73,1.0,20.85,24.9,5.5,20.4,25.1,0.0,5.04,7.8
2023,SC,2150.4,1015.3,1.0,21.76,24.2,8.6,21.31,24.7,0.9,4.02,7.8
2003,CE,1712.3,1009.41,1518.29,27.34,25.3,21.7,26.84,25.9,13.5,6.98,7.7
2004,CE,1857.1,1009.12,1483.92,27.11,25.4,22.3,26.62,25.9,13.1,6.76,7.7
2005,CE,1021.74,1008.83,3651.81,27.25,25.5,21.5,26.82,26.3,13.2,6.7,7.7
2006,CE,1075.86,1010.24,1426.11,27.26,23.6,21.2,26.31,24.1,12.8,6.61,7.7
2007,CE,1120.4,1009.06,694.91,26.93,25.2,21.9,26.51,26.9,11.8,6.52,7.5
2008,CE,1861.2,1007.7,232.21,27.04,24.1,22.3,26.4,24.7,17.4,5.44,5.7
2009,CE,2347.9,1009.01,799.39,26.66,25.5,21.6,26.25,25.6,14.6,5.73,7.0
2010,CE,304.8,1009.04,1301.6,27.87,25.3,22.7,27.54,37.9,6.1,6.82,6.8
2011,CE,1723.9,1008.65,729.77,26.86,25.6,21.4,26.37,26.7,13.6,6.08,7.1
2012,CE,814.7,1009.4,771.24,27.25,27.0,21.0,26.77,27.0,12.2,7.2,7.1
